Gene,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000040204,-2.92580589839025,6.37755898524003,849.684682205372,8.51E-187,1.11E-182
ENSMUSG00000020649,-2.57517492702716,6.94559048360242,666.268252497821,6.47E-147,4.21E-143
ENSMUSG00000030978,-2.22158481435067,7.1865007167201,619.037292599208,1.21E-136,5.25E-133
ENSMUSG00000001228,-2.64663593526702,6.46841415729704,561.757496660251,3.49E-124,1.13E-120
ENSMUSG00000027306,-2.31530333500445,5.89374318402051,514.020402576935,8.46E-114,2.20E-110
ENSMUSG00000005410,-2.41934225284567,6.35322594680625,513.264385599334,1.24E-113,2.68E-110
ENSMUSG00000056394,-2.29850541008862,6.20138417992039,500.96756990601,5.85E-111,1.09E-107
ENSMUSG00000036768,-2.34155737719639,5.53842807985362,494.672479053661,1.37E-109,2.23E-106
ENSMUSG00000037313,-2.20476228443582,5.79955774908877,488.725369112605,2.70E-108,3.90E-105
ENSMUSG00000041859,-1.98500010960111,6.83852540766117,468.349360111525,7.33E-104,9.52E-101
ENSMUSG00000026683,-2.3403996791899,5.19642821650656,455.225920860343,5.26E-101,6.21E-98
ENSMUSG00000019942,-2.39359200869391,5.63825009049169,453.023274726204,1.59E-100,1.72E-97
ENSMUSG00000029730,-1.82560168277959,6.93554028940482,450.311550215635,6.17E-100,6.17E-97
ENSMUSG00000005470,-2.30520836449966,5.55410517956937,437.337863582711,4.11E-97,3.82E-94
ENSMUSG00000020914,-2.30391580636188,8.20702970451452,416.368673021381,1.51E-92,1.30E-89
ENSMUSG00000005233,-2.42521605935524,4.83415328273753,390.664934530125,5.93E-87,4.82E-84
ENSMUSG00000022322,-2.6723965444907,4.62500384405481,387.655403314179,2.68E-86,2.05E-83
ENSMUSG00000023015,-2.06667544699749,6.42249040108666,382.450716951881,3.64E-85,2.63E-82
ENSMUSG00000023505,-2.37826107682233,5.42870260932635,381.617376538314,5.53E-85,3.78E-82
ENSMUSG00000026355,-2.02806360347349,6.95485219641349,377.166083692454,5.15E-84,3.35E-81
ENSMUSG00000031004,-2.18314940715694,8.80694115340834,371.072861606126,1.09E-82,6.76E-80
ENSMUSG00000029414,-2.49151934825328,5.45544209122298,368.234256370651,4.54E-82,2.68E-79
ENSMUSG00000064032,-1.83972388150562,5.47093764150041,367.598429971657,6.24E-82,3.53E-79
ENSMUSG00000002870,-2.13371982339948,6.34410814718656,366.063965746767,1.35E-81,7.29E-79
ENSMUSG00000034329,-2.20797582362308,4.62446976117618,356.41218349884,1.70E-79,8.85E-77
ENSMUSG00000032555,-1.53816204455887,6.92274960580669,351.079795490756,2.47E-78,1.23E-75
ENSMUSG00000038943,-2.13908321595053,6.3650523152091,348.155267771814,1.07E-77,5.14E-75
ENSMUSG00000034023,-2.49216713417945,4.51628546547781,347.594218493238,1.42E-77,6.57E-75
ENSMUSG00000027342,-1.55213986053081,7.60608834400237,346.60778994479,2.32E-77,1.04E-74
ENSMUSG00000022673,-1.6789993557129,6.65215007197292,345.114102110997,4.91E-77,2.13E-74
ENSMUSG00000038252,-2.04664386832684,6.98384640838686,341.79330871454,2.60E-76,1.09E-73
ENSMUSG00000012443,-2.13697003814306,6.22955513638207,341.721202645843,2.69E-76,1.09E-73
ENSMUSG00000028312,-1.97124161486441,6.74310604630262,340.022737357882,6.31E-76,2.48E-73
ENSMUSG00000046179,-2.52983294562489,4.92416593021648,339.852898536638,6.87E-76,2.63E-73
ENSMUSG00000042029,-2.0274541556433,6.24473445671264,338.489487484566,1.36E-75,5.05E-73
ENSMUSG00000022945,-2.22137906552554,4.63719599556238,337.767517388802,1.95E-75,7.06E-73
ENSMUSG00000037572,-2.16814374475928,5.19358186642474,337.561417947763,2.17E-75,7.61E-73
ENSMUSG00000025574,-1.97913831404539,5.97812914667261,331.122885936282,5.47E-74,1.87E-71
ENSMUSG00000020897,-2.25833645481872,5.50541766426729,330.967846369174,5.92E-74,1.97E-71
ENSMUSG00000026669,-2.50166977198816,4.56528240823942,329.945756132294,9.88E-74,3.21E-71
ENSMUSG00000017716,-2.30663127059684,5.47744721099177,325.749462923157,8.10E-73,2.57E-70
ENSMUSG00000028873,-2.117818622,5.18965942127569,325.221873826998,1.06E-72,3.27E-70
ENSMUSG00000024590,-2.06196912253359,6.49642524975099,323.205034814838,2.90E-72,8.77E-70
ENSMUSG00000024742,-1.91156723993527,5.59487865054025,322.462742065368,4.21E-72,1.24E-69
ENSMUSG00000027715,-2.16183713064666,6.56501017774541,320.975057658322,8.88E-72,2.57E-69
ENSMUSG00000041498,-2.31913141820493,4.71976297180714,320.229333332204,1.29E-71,3.65E-69
ENSMUSG00000007080,-2.19466963769375,5.262167542184,319.159196452847,2.21E-71,6.11E-69
ENSMUSG00000027203,-1.95122881343048,4.76502742887564,318.834125834324,2.60E-71,7.04E-69
ENSMUSG00000021377,-1.51630540202215,7.54855811785819,318.68367957319,2.80E-71,7.43E-69
ENSMUSG00000041431,-2.30179314404031,5.20179573785942,318.424812712039,3.19E-71,8.30E-69
ENSMUSG00000027469,-2.06051226091797,6.28656998609307,316.36372833314,8.97E-71,2.29E-68
ENSMUSG00000002068,-2.36952218625628,4.18869012897604,314.663015568117,2.11E-70,5.26E-68
ENSMUSG00000035683,-2.50442502722407,4.78129975756585,313.903108911963,3.08E-70,7.56E-68
ENSMUSG00000028832,-1.90490730336455,7.38000737420211,313.480802651338,3.81E-70,9.17E-68
ENSMUSG00000022033,-2.44843362282037,4.48400211961194,312.30426292085,6.87E-70,1.62E-67
ENSMUSG00000019214,-2.2366437440232,4.34190250398093,311.518730315054,1.02E-69,2.37E-67
ENSMUSG00000026196,-2.24983953134324,4.05025575082939,310.171215318418,2.00E-69,4.57E-67
ENSMUSG00000028693,-1.58844216547877,6.14791259367299,308.414628393603,4.84E-69,1.08E-66
ENSMUSG00000026434,-1.47177057550654,7.1361968694855,305.926278781666,1.69E-68,3.71E-66
ENSMUSG00000025395,-1.87835965422254,4.89426879326169,304.753807870808,3.03E-68,6.57E-66
ENSMUSG00000021707,-2.41962079074192,4.33502927525191,304.344451949687,3.73E-68,7.85E-66
ENSMUSG00000051220,-2.17898072604092,4.38936151754539,304.33357309908,3.75E-68,7.85E-66
ENSMUSG00000034906,-2.25198656302687,5.439269404991,302.029145945176,1.19E-67,2.46E-65
ENSMUSG00000042489,-2.36495785559654,5.36002695758521,299.698783438636,3.83E-67,7.78E-65
ENSMUSG00000002055,-2.2934266191544,5.26956387264534,296.742988984357,1.69E-66,3.37E-64
ENSMUSG00000034311,-2.24791438379562,5.19948120377364,295.275006499631,3.53E-66,6.94E-64
ENSMUSG00000030867,-2.44253054314002,5.15370262195399,293.873300160632,7.12E-66,1.38E-63
ENSMUSG00000017861,-2.35814013498552,4.37101836473108,292.808843210611,1.21E-65,2.32E-63
ENSMUSG00000009575,-1.70683198148172,6.63101559385996,291.327736591322,2.55E-65,4.81E-63
ENSMUSG00000025747,-1.87863015838345,4.86628379065472,290.827379389954,3.28E-65,6.10E-63
ENSMUSG00000030528,-2.02138977908435,4.28345655871192,290.058716906435,4.83E-65,8.84E-63
ENSMUSG00000024660,-1.71158781869328,6.73476917855939,286.317086291057,3.16E-64,5.70E-62
