Gene,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000069996,-6.369693604,0.581897847,131.7293617,1.71E-30,7.43E-28
ENSMUSG00000048142,-2.183139844,3.240185581,131.6263904,1.81E-30,7.57E-28
ENSMUSG00000096403,-8.663054039,1.069397166,131.0327408,2.44E-30,9.89E-28
ENSMUSG00000026535,-7.975674876,0.477892501,130.8596122,2.66E-30,1.05E-27
ENSMUSG00000028413,-1.296088252,8.542908532,129.2248847,6.06E-30,2.31E-27
ENSMUSG00000021508,-1.900764787,4.010854337,127.2210427,1.66E-29,6.17E-27
ENSMUSG00000027285,-1.58650857,5.310917892,126.9150646,1.94E-29,7.00E-27
ENSMUSG00000032688,-1.552943922,6.273772633,125.4356652,4.09E-29,1.44E-26
ENSMUSG00000022636,-1.009152683,5.107446211,125.2738064,4.43E-29,1.52E-26
ENSMUSG00000097605,-2.154723413,3.883016002,123.8312399,9.17E-29,3.06E-26
ENSMUSG00000041992,-4.098689379,2.225090043,122.5077693,1.79E-28,5.81E-26
ENSMUSG00000010095,-1.154688777,7.754626805,121.1148577,3.61E-28,1.14E-25
ENSMUSG00000018476,-1.2187348,6.588283317,120.662916,4.53E-28,1.40E-25
ENSMUSG00000052062,-4.862820562,1.547380047,120.4773794,4.97E-28,1.50E-25
ENSMUSG00000028078,-4.084814494,1.505732677,119.1159389,9.88E-28,2.92E-25
ENSMUSG00000024360,-0.83891852,7.610800907,118.5388912,1.32E-27,3.82E-25
ENSMUSG00000000244,1.286582296,5.186856342,118.4432269,1.39E-27,3.92E-25
ENSMUSG00000034117,-2.28859728,2.885775559,117.9864439,1.75E-27,4.83E-25
ENSMUSG00000044468,-2.631853493,3.053223666,117.475379,2.26E-27,6.12E-25
ENSMUSG00000054720,-1.20143833,5.368424792,117.2812512,2.49E-27,6.61E-25
ENSMUSG00000027502,-0.835908028,7.316811198,115.0036867,7.86E-27,2.04E-24
ENSMUSG00000000489,-2.220267696,2.835204047,114.9326353,8.14E-27,2.07E-24
ENSMUSG00000019699,-2.043994855,3.084516253,113.5668623,1.62E-26,4.05E-24
ENSMUSG00000020349,-0.864045685,7.931140406,112.5152835,2.76E-26,6.76E-24
ENSMUSG00000032122,-1.688135789,5.347346554,112.3930891,2.93E-26,7.05E-24
ENSMUSG00000016528,-0.867862591,7.639424549,111.611588,4.35E-26,1.03E-23
ENSMUSG00000021282,-0.834392145,8.507823038,109.9321759,1.01E-25,2.35E-23
ENSMUSG00000056592,1.482967245,3.890695494,109.3620798,1.35E-25,3.08E-23
ENSMUSG00000101431,-8.025012547,0.594213893,108.0822092,2.58E-25,5.78E-23
ENSMUSG00000036875,1.122567077,6.372348027,107.6448618,3.22E-25,7.05E-23
ENSMUSG00000067591,-5.439823281,1.271287041,107.6218009,3.25E-25,7.05E-23
ENSMUSG00000030208,-1.257099871,6.919633648,106.5377981,5.62E-25,1.20E-22
ENSMUSG00000041313,-1.42007013,5.602436824,106.1073096,6.98E-25,1.46E-22
ENSMUSG00000055866,-2.07918051,5.900014591,105.6789672,8.67E-25,1.79E-22
ENSMUSG00000040479,-1.118147329,7.831249744,105.4646604,9.66E-25,1.96E-22
ENSMUSG00000033684,-0.84817785,7.418633028,105.2303967,1.09E-24,2.17E-22
ENSMUSG00000056216,0.986515418,7.044341731,105.0766935,1.17E-24,2.31E-22
ENSMUSG00000018143,-1.123303123,6.023957486,104.6213142,1.48E-24,2.87E-22
ENSMUSG00000021767,-2.563203007,6.58309177,104.3877194,1.66E-24,3.18E-22
ENSMUSG00000039908,-4.474341973,1.058896205,103.9032976,2.12E-24,4.00E-22
ENSMUSG00000027397,-1.005739588,6.337997464,103.8623977,2.17E-24,4.03E-22
ENSMUSG00000094627,-7.242012307,2.962720856,102.5953343,4.11E-24,7.52E-22
ENSMUSG00000030329,-5.896996811,3.898152585,100.1715989,1.40E-23,2.52E-21
ENSMUSG00000024423,-1.044479193,6.213746396,99.99299184,1.53E-23,2.72E-21
ENSMUSG00000085438,0.910289328,6.998869161,99.53875686,1.92E-23,3.38E-21
ENSMUSG00000047735,0.877118106,6.472399068,99.18318992,2.30E-23,3.99E-21
ENSMUSG00000027555,-1.678431214,3.513998647,99.12988725,2.36E-23,4.04E-21
ENSMUSG00000019960,1.223868158,6.700171472,98.53061118,3.20E-23,5.40E-21
ENSMUSG00000023905,-1.308069554,4.384530275,98.44838289,3.34E-23,5.56E-21
ENSMUSG00000045671,-1.462105275,4.139355256,98.35968301,3.49E-23,5.74E-21
ENSMUSG00000000982,-2.663551619,4.930968585,98.10839422,3.96E-23,6.43E-21
ENSMUSG00000074361,1.183116733,5.258736816,97.94434617,4.30E-23,6.90E-21
ENSMUSG00000051950,-1.163843703,4.722918264,96.92028009,7.22E-23,1.14E-20
ENSMUSG00000020644,-2.506058829,7.363829096,96.61429642,8.42E-23,1.32E-20
ENSMUSG00000038151,-1.289457188,5.672735072,96.2012875,1.04E-22,1.61E-20
ENSMUSG00000045411,-1.394903608,5.549266489,96.04212392,1.12E-22,1.72E-20
ENSMUSG00000045193,-1.820754454,4.772913082,95.48271695,1.49E-22,2.25E-20
ENSMUSG00000029863,1.051864762,5.294301727,95.11613217,1.80E-22,2.68E-20
ENSMUSG00000045038,-2.532666536,3.2441159,92.98172622,5.28E-22,7.79E-20
ENSMUSG00000039981,1.788476614,3.69030603,92.10554422,8.22E-22,1.20E-19
ENSMUSG00000027222,-0.959142663,5.375409953,91.65490444,1.03E-21,1.49E-19
ENSMUSG00000042688,-0.727185333,8.029161159,91.58012143,1.07E-21,1.53E-19
ENSMUSG00000050550,-5.816191999,0.131265626,91.36005123,1.20E-21,1.69E-19
ENSMUSG00000006360,-1.976194806,6.260288928,91.18269425,1.31E-21,1.83E-19
ENSMUSG00000024843,-0.956409797,5.823592977,90.65560524,1.71E-21,2.36E-19
ENSMUSG00000024750,-1.132080606,7.240249383,90.10277326,2.26E-21,3.09E-19
ENSMUSG00000090307,-3.358984189,1.624699419,89.64300355,2.85E-21,3.86E-19
ENSMUSG00000093904,-0.894834223,6.969992222,88.64240544,4.73E-21,6.28E-19
ENSMUSG00000045763,-2.864085886,4.523423175,88.6389851,4.74E-21,6.28E-19
ENSMUSG00000001542,-1.053541768,6.26693146,88.27722918,5.69E-21,7.47E-19
ENSMUSG00000038209,-7.686255766,0.267771281,88.24647387,5.78E-21,7.51E-19
ENSMUSG00000067235,-2.160680595,2.23691469,88.09130562,6.25E-21,8.01E-19
ENSMUSG00000097705,2.092149078,2.420175289,88.07981947,6.29E-21,8.01E-19
ENSMUSG00000027999,-1.77587493,3.563526807,87.58680648,8.07E-21,1.02E-18
ENSMUSG00000026821,-1.222563047,7.947753456,87.46527646,8.58E-21,1.07E-18
ENSMUSG00000058126,-6.191691079,4.338477062,87.18899847,9.86E-21,1.22E-18
ENSMUSG00000032392,1.000020857,4.099645868,86.99771405,1.09E-20,1.33E-18
ENSMUSG00000036853,0.80119517,7.948571278,86.88962208,1.15E-20,1.39E-18
ENSMUSG00000030156,1.428899044,3.40009294,86.77725976,1.21E-20,1.46E-18
ENSMUSG00000050721,-0.752838757,7.264214663,86.66265012,1.29E-20,1.53E-18
ENSMUSG00000080242,-5.871000559,3.239608678,86.29437859,1.55E-20,1.82E-18
ENSMUSG00000100370,1.328798531,3.681457195,86.28749546,1.56E-20,1.82E-18
ENSMUSG00000029110,-0.79375318,6.823766333,86.15438452,1.66E-20,1.93E-18
ENSMUSG00000093880,-4.003348065,0.526092143,86.08783807,1.72E-20,1.98E-18
ENSMUSG00000047875,-1.507839796,5.437982748,86.06904851,1.74E-20,1.98E-18
ENSMUSG00000021102,-1.006451144,5.53824473,85.76396267,2.03E-20,2.29E-18
ENSMUSG00000091373,-7.680798091,0.331788411,85.30535405,2.56E-20,2.86E-18
ENSMUSG00000078183,-7.333756683,0.00051547,85.04259279,2.92E-20,3.24E-18
ENSMUSG00000020773,0.972481581,6.116187636,84.86957085,3.19E-20,3.51E-18
ENSMUSG00000036533,1.128538883,7.929881165,84.85460917,3.21E-20,3.51E-18
ENSMUSG00000046456,1.766029992,3.665383081,84.69362463,3.48E-20,3.77E-18
ENSMUSG00000021986,2.792211004,2.248269212,84.67010577,3.53E-20,3.79E-18
ENSMUSG00000020300,-0.878634556,6.966005725,84.5846214,3.68E-20,3.92E-18
ENSMUSG00000021149,-0.845313494,6.365674515,84.55861752,3.73E-20,3.94E-18
ENSMUSG00000019806,-1.180389358,4.608789643,84.34385939,4.16E-20,4.36E-18
ENSMUSG00000049881,-1.291771956,3.849720472,83.56721278,6.16E-20,6.40E-18
ENSMUSG00000001741,1.087134542,6.440562688,83.43715943,6.58E-20,6.78E-18
ENSMUSG00000078816,-1.767624895,2.583233105,83.40394066,6.69E-20,6.84E-18
ENSMUSG00000032911,-1.673885502,4.447827188,83.25857549,7.20E-20,7.31E-18
ENSMUSG00000064280,-2.203750245,2.28413536,83.07026264,7.92E-20,7.98E-18
ENSMUSG00000095041,0.777725318,7.240519749,82.88646184,8.69E-20,8.69E-18
ENSMUSG00000027315,1.040669495,6.199605765,82.76946036,9.22E-20,9.15E-18
ENSMUSG00000039347,-4.150287495,1.844921479,82.69791346,9.56E-20,9.41E-18
ENSMUSG00000085882,1.952574657,2.647543701,82.41260531,1.10E-19,1.08E-17
ENSMUSG00000020911,0.797383742,9.058732345,82.23829104,1.21E-19,1.17E-17
ENSMUSG00000046675,-1.171269452,4.585090691,81.73847881,1.55E-19,1.50E-17
ENSMUSG00000034271,-1.370455501,4.480940166,81.61218207,1.66E-19,1.58E-17
ENSMUSG00000045165,1.00956912,5.519686515,81.34056873,1.90E-19,1.80E-17
ENSMUSG00000024053,-1.166392969,7.260792358,81.18768009,2.05E-19,1.93E-17
ENSMUSG00000085498,-1.748156272,3.298340095,81.04578297,2.21E-19,2.05E-17
ENSMUSG00000022983,-0.760309293,6.055833394,81.0450769,2.21E-19,2.05E-17
ENSMUSG00000009575,0.954677453,6.631015594,80.24509924,3.31E-19,3.05E-17
ENSMUSG00000028197,-7.561755265,0.120425441,80.20371324,3.38E-19,3.09E-17
ENSMUSG00000053716,1.071785771,5.516096152,80.13461046,3.50E-19,3.18E-17
ENSMUSG00000082935,-7.295317015,-0.000648711,80.07537454,3.60E-19,3.25E-17
ENSMUSG00000078249,-5.459328173,0.566656716,80.04380354,3.66E-19,3.28E-17
ENSMUSG00000079507,-5.000215801,0.09302737,79.85588549,4.03E-19,3.58E-17
ENSMUSG00000016559,-0.754497148,9.436327443,79.83482686,4.07E-19,3.60E-17
ENSMUSG00000058672,-1.646383761,3.400571754,79.27681013,5.40E-19,4.74E-17
ENSMUSG00000024691,1.730854147,7.236680518,79.09700291,5.91E-19,5.16E-17
ENSMUSG00000020120,-0.778246201,10.03624449,79.075405,5.98E-19,5.18E-17
ENSMUSG00000078908,1.110897344,5.148685046,79.03331644,6.11E-19,5.23E-17
ENSMUSG00000060657,0.864169741,6.498808997,79.03008787,6.12E-19,5.23E-17
ENSMUSG00000039782,-1.065558102,5.834668086,78.95354765,6.36E-19,5.40E-17
ENSMUSG00000063506,-1.8977523,2.742017877,78.69390639,7.25E-19,6.12E-17
ENSMUSG00000074677,0.920698159,6.027096641,78.23008841,9.17E-19,7.69E-17
ENSMUSG00000009418,1.026440891,5.704498809,77.60696288,1.26E-18,1.04E-16
ENSMUSG00000041057,-0.952077668,6.001473816,77.59712942,1.26E-18,1.04E-16
ENSMUSG00000026558,-0.872869995,6.564989521,77.5888034,1.27E-18,1.04E-16
ENSMUSG00000048234,-0.794890818,7.242401343,77.52217664,1.31E-18,1.07E-16
ENSMUSG00000031352,-0.967608378,5.588060811,77.51256402,1.32E-18,1.07E-16
ENSMUSG00000053063,0.928391202,5.070352187,77.19998871,1.54E-18,1.25E-16
ENSMUSG00000027995,-0.96610763,9.455999017,77.122781,1.61E-18,1.29E-16
ENSMUSG00000028889,-0.955058966,4.693307599,76.83724671,1.86E-18,1.48E-16
ENSMUSG00000023068,-0.831980602,7.579090633,76.64717813,2.04E-18,1.62E-16
ENSMUSG00000008384,-1.027407495,3.829284117,76.55201044,2.14E-18,1.69E-16
ENSMUSG00000090628,-3.184677305,1.63861195,76.53275829,2.17E-18,1.70E-16
ENSMUSG00000090665,3.480927213,0.984973665,76.3992479,2.32E-18,1.80E-16
ENSMUSG00000032014,-1.759647257,4.46316373,75.95263612,2.91E-18,2.25E-16
ENSMUSG00000085148,-1.39874952,5.038897774,75.84993515,3.06E-18,2.35E-16
ENSMUSG00000038059,-1.068755073,4.766053792,75.57307771,3.52E-18,2.69E-16
ENSMUSG00000040219,-1.689694186,2.295053319,75.05233321,4.58E-18,3.48E-16
ENSMUSG00000069117,-6.834816514,3.717660005,74.36229933,6.50E-18,4.91E-16
ENSMUSG00000059588,1.666363263,5.124502133,73.02213145,1.28E-17,9.63E-16
ENSMUSG00000041483,-0.837624334,5.181907228,72.79488303,1.44E-17,1.07E-15
ENSMUSG00000021591,-0.788435373,6.305055489,72.77660714,1.45E-17,1.08E-15
ENSMUSG00000030157,1.795397714,5.300297398,72.59798733,1.59E-17,1.17E-15
ENSMUSG00000038806,-0.929522925,5.200728352,72.20835738,1.94E-17,1.42E-15
ENSMUSG00000074164,-7.101919087,-0.183305599,72.06363209,2.08E-17,1.52E-15
ENSMUSG00000050471,0.783174265,5.872334843,71.54271971,2.71E-17,1.97E-15
ENSMUSG00000039763,2.707916455,1.819289955,71.279678,3.10E-17,2.24E-15
ENSMUSG00000061062,-3.771705252,0.386114288,71.21286105,3.21E-17,2.30E-15
ENSMUSG00000021458,-1.403457197,5.003558213,70.36691601,4.92E-17,3.52E-15
ENSMUSG00000054582,-2.630406425,1.46487972,69.80552259,6.54E-17,4.65E-15
ENSMUSG00000059058,-4.565631216,0.23664149,69.76741428,6.67E-17,4.71E-15
ENSMUSG00000030213,0.839007679,6.679034005,69.63342633,7.14E-17,5.02E-15
ENSMUSG00000027408,-4.152041868,0.556950495,69.41498366,7.98E-17,5.57E-15
ENSMUSG00000029032,-3.7007916,0.313958118,69.33031681,8.33E-17,5.79E-15
ENSMUSG00000032648,-2.648819351,1.99072934,68.94825845,1.01E-16,6.99E-15
ENSMUSG00000032802,-1.841889613,6.044205755,68.78476775,1.10E-16,7.55E-15
ENSMUSG00000052102,0.929510682,6.201992854,68.66090602,1.17E-16,8.00E-15
ENSMUSG00000060224,-1.651160096,2.033042669,68.22465434,1.46E-16,9.93E-15
ENSMUSG00000062353,-7.327006043,3.868170752,68.16364884,1.50E-16,1.02E-14
ENSMUSG00000021752,-1.130948361,4.371625062,68.12212099,1.54E-16,1.03E-14
ENSMUSG00000026773,-0.883950158,6.146058983,67.94489176,1.68E-16,1.13E-14
ENSMUSG00000020869,-0.762025388,8.128490671,67.92995768,1.69E-16,1.13E-14
ENSMUSG00000038683,-0.843939017,6.097986482,67.92690621,1.70E-16,1.13E-14
ENSMUSG00000030760,-1.629662168,3.163198958,67.53283223,2.07E-16,1.37E-14
ENSMUSG00000019832,0.9243732,7.674339138,67.52417668,2.08E-16,1.37E-14
ENSMUSG00000042622,-1.682943368,6.374772322,67.44714732,2.16E-16,1.41E-14
ENSMUSG00000023913,-3.475128643,3.865954756,67.27064596,2.37E-16,1.54E-14
ENSMUSG00000022372,-1.014266456,9.082221451,67.10744833,2.57E-16,1.66E-14
ENSMUSG00000029103,-0.654837384,6.47423874,66.78999579,3.02E-16,1.94E-14
ENSMUSG00000061723,-2.296008603,1.785682513,66.51666604,3.47E-16,2.22E-14
ENSMUSG00000089672,-1.402368345,8.157782388,66.38457325,3.71E-16,2.36E-14
ENSMUSG00000022587,0.76443379,7.814699095,66.35916756,3.76E-16,2.38E-14
ENSMUSG00000025854,-3.336969933,3.07625554,66.25193554,3.97E-16,2.50E-14
ENSMUSG00000030630,-2.364551342,1.856695163,66.19083661,4.09E-16,2.57E-14
ENSMUSG00000031776,-1.49069742,4.109146656,66.18051343,4.11E-16,2.57E-14
ENSMUSG00000078783,-3.290616361,0.621014272,65.94605512,4.63E-16,2.88E-14
ENSMUSG00000018286,-0.727972898,6.539388962,65.93971517,4.65E-16,2.88E-14
ENSMUSG00000018868,1.108332096,4.416489205,65.82251037,4.93E-16,3.04E-14
ENSMUSG00000063696,-7.179906635,4.202657663,65.72337691,5.19E-16,3.18E-14
ENSMUSG00000013707,0.842697194,5.768843137,65.69920442,5.25E-16,3.20E-14
ENSMUSG00000030533,-0.832081988,6.22418156,65.55499269,5.65E-16,3.43E-14
ENSMUSG00000021125,-2.411161465,2.825564139,65.52196956,5.75E-16,3.47E-14
ENSMUSG00000041797,-2.780091054,3.060981915,65.09530056,7.14E-16,4.29E-14
ENSMUSG00000045980,-0.81376202,6.37603319,64.86242152,8.03E-16,4.81E-14
ENSMUSG00000060477,-0.94269536,6.616731549,64.69404471,8.75E-16,5.22E-14
ENSMUSG00000027322,0.708478602,9.268322999,64.54631393,9.43E-16,5.60E-14
ENSMUSG00000040111,-1.226752024,5.32098262,64.38830975,1.02E-15,6.04E-14
ENSMUSG00000043192,-3.714359618,0.384860217,64.28659226,1.08E-15,6.33E-14
ENSMUSG00000020598,-3.629010543,1.237993304,64.25226373,1.09E-15,6.41E-14
ENSMUSG00000025958,0.87411965,6.254608838,64.23520922,1.10E-15,6.43E-14
ENSMUSG00000056537,-0.882991818,7.268843707,63.9750046,1.26E-15,7.31E-14
ENSMUSG00000009741,-0.771535621,7.234708948,63.92100358,1.30E-15,7.48E-14
ENSMUSG00000029401,-0.874774768,4.929936854,63.68872079,1.46E-15,8.38E-14
ENSMUSG00000003559,-1.155670155,3.708862226,63.66742428,1.47E-15,8.43E-14
ENSMUSG00000033863,-2.281431926,5.760591588,63.65453817,1.48E-15,8.45E-14
ENSMUSG00000095440,1.262947815,3.19600913,63.39949406,1.69E-15,9.58E-14
ENSMUSG00000020482,0.93519208,5.295978937,63.24790891,1.82E-15,1.03E-13
ENSMUSG00000029314,-0.890972773,5.731345233,62.85174141,2.23E-15,1.25E-13
ENSMUSG00000072770,1.781048176,2.84083394,62.74609969,2.35E-15,1.32E-13
ENSMUSG00000024401,-1.22676025,4.353334095,62.5980559,2.54E-15,1.41E-13
ENSMUSG00000023286,-0.644023592,5.800529329,62.54090875,2.61E-15,1.45E-13
ENSMUSG00000091478,-5.663911107,0.090855178,62.47877979,2.69E-15,1.49E-13
ENSMUSG00000022094,-1.055534621,6.65491215,62.45986796,2.72E-15,1.50E-13
ENSMUSG00000030592,-1.439998887,3.026685629,62.2560137,3.02E-15,1.65E-13
ENSMUSG00000024795,1.108152323,5.2564587,62.12939198,3.22E-15,1.76E-13
ENSMUSG00000019917,1.053068797,4.559996138,61.92464306,3.57E-15,1.94E-13
ENSMUSG00000021428,-0.783297103,4.868121277,61.87744178,3.66E-15,1.98E-13
ENSMUSG00000029198,-0.73015107,5.86225735,61.85989864,3.69E-15,1.99E-13
ENSMUSG00000025154,1.314770851,5.102208015,61.76092032,3.88E-15,2.08E-13
ENSMUSG00000043300,-4.774665539,0.977620279,61.69612112,4.01E-15,2.14E-13
ENSMUSG00000021890,-0.808153979,6.117185651,61.21027129,5.13E-15,2.73E-13
ENSMUSG00000098292,-6.840618922,-0.414365084,61.0801234,5.48E-15,2.90E-13
ENSMUSG00000064145,-0.728423868,6.269676696,61.07473637,5.49E-15,2.90E-13
ENSMUSG00000029822,1.267072994,4.915547412,61.01604917,5.66E-15,2.97E-13
ENSMUSG00000037966,-1.27151923,2.892190289,61.01466792,5.67E-15,2.97E-13
ENSMUSG00000056144,1.1911001,3.910647645,60.82300012,6.24E-15,3.26E-13
ENSMUSG00000042826,1.416267398,3.069553968,60.60418528,6.98E-15,3.63E-13
ENSMUSG00000027784,-1.818489054,1.823545953,60.49906999,7.36E-15,3.81E-13
ENSMUSG00000095597,-9.009066912,3.090247224,60.48122832,7.43E-15,3.83E-13
ENSMUSG00000033952,1.09395313,5.619295872,60.3893664,7.78E-15,4.00E-13
ENSMUSG00000020611,-0.647841943,7.961258418,60.37089022,7.86E-15,4.02E-13
ENSMUSG00000031939,-0.960382841,4.64027977,60.35395777,7.92E-15,4.04E-13
ENSMUSG00000053286,0.902467721,5.304663048,60.31901868,8.07E-15,4.09E-13
ENSMUSG00000085178,-1.409708023,3.225418355,60.27566486,8.25E-15,4.17E-13
ENSMUSG00000083116,-5.348755288,-0.227018517,60.24061423,8.39E-15,4.23E-13
ENSMUSG00000014599,-2.868162692,1.842105305,60.04777063,9.26E-15,4.65E-13
ENSMUSG00000056130,0.924354994,4.558683799,60.02481685,9.37E-15,4.68E-13
ENSMUSG00000036523,-6.768535048,-0.449682769,60.01921921,9.39E-15,4.68E-13
ENSMUSG00000097715,-0.892269675,5.304058435,59.91521704,9.90E-15,4.91E-13
ENSMUSG00000037995,1.353232282,5.076809136,59.86432155,1.02E-14,5.02E-13
ENSMUSG00000031278,-0.758905408,6.583868009,59.85922125,1.02E-14,5.02E-13
ENSMUSG00000038214,-1.333167251,3.830089738,59.82915746,1.03E-14,5.07E-13
ENSMUSG00000000384,-0.887398181,5.618603988,59.74699199,1.08E-14,5.27E-13
ENSMUSG00000021356,1.821057768,2.044622959,59.70764842,1.10E-14,5.36E-13
ENSMUSG00000044881,1.279351582,3.219521344,59.67057919,1.12E-14,5.44E-13
ENSMUSG00000042557,0.6774808,6.165187205,59.42037759,1.27E-14,6.15E-13
ENSMUSG00000042677,-1.681913882,6.724893518,59.36228797,1.31E-14,6.31E-13
ENSMUSG00000033671,0.771703893,7.247900818,59.22236599,1.41E-14,6.75E-13
ENSMUSG00000039910,1.046377084,5.310962115,59.11048359,1.49E-14,7.12E-13
ENSMUSG00000032010,-1.379401026,4.556018413,59.07420299,1.52E-14,7.23E-13
ENSMUSG00000003226,-0.587809307,8.064111728,59.04416337,1.54E-14,7.31E-13
ENSMUSG00000027111,0.838636612,5.528305818,58.93785802,1.63E-14,7.67E-13
ENSMUSG00000027787,-1.163979944,5.084636694,58.9348495,1.63E-14,7.67E-13
ENSMUSG00000034634,6.674874616,-0.659274068,58.80724723,1.74E-14,8.16E-13
ENSMUSG00000081476,-4.243334131,-0.05182136,58.67873346,1.86E-14,8.68E-13
ENSMUSG00000020115,-0.651329107,6.650475346,58.54029969,1.99E-14,9.28E-13
ENSMUSG00000035164,-2.334797755,2.3345054,58.39023033,2.15E-14,9.98E-13
ENSMUSG00000020812,-1.269991231,3.547023165,58.20978352,2.36E-14,1.09E-12
ENSMUSG00000033917,-0.71827414,6.523173576,58.18191162,2.39E-14,1.10E-12
ENSMUSG00000030330,0.907112541,6.199335354,57.93975371,2.70E-14,1.24E-12
ENSMUSG00000097974,-1.89470547,3.960783424,57.89390375,2.77E-14,1.27E-12
ENSMUSG00000032580,0.790153302,7.005836681,57.86775739,2.80E-14,1.28E-12
ENSMUSG00000035621,-1.178013677,6.635625186,57.84214278,2.84E-14,1.29E-12
ENSMUSG00000027293,-0.591420452,6.873391597,57.76717239,2.95E-14,1.34E-12
ENSMUSG00000014554,0.858656887,4.391112982,57.72759179,3.01E-14,1.36E-12
ENSMUSG00000035390,1.993105013,2.363621752,57.54169018,3.31E-14,1.49E-12
ENSMUSG00000027855,-4.268461206,0.314624825,57.35621085,3.64E-14,1.63E-12
ENSMUSG00000033644,-1.358675953,3.793058804,57.31003275,3.72E-14,1.66E-12
ENSMUSG00000035385,-2.223172134,2.619760326,56.99501674,4.37E-14,1.94E-12
ENSMUSG00000036777,0.774925226,6.895055874,56.94092109,4.49E-14,1.99E-12
ENSMUSG00000027399,-1.535473681,5.833401081,56.93581516,4.50E-14,1.99E-12
ENSMUSG00000042010,-3.418336535,0.334971214,56.80785668,4.81E-14,2.12E-12
ENSMUSG00000036887,2.769440034,0.699705233,56.65872917,5.18E-14,2.28E-12
ENSMUSG00000051314,0.983647714,5.321953172,56.64000275,5.23E-14,2.29E-12
ENSMUSG00000030057,-0.780604928,7.993813866,56.63189865,5.26E-14,2.29E-12
ENSMUSG00000032507,-0.833100749,4.565720019,56.49543117,5.63E-14,2.44E-12
ENSMUSG00000031504,-1.646880176,5.211301769,56.49192376,5.64E-14,2.44E-12
ENSMUSG00000024507,0.666000707,8.377732856,56.45769,5.74E-14,2.48E-12
ENSMUSG00000097242,-1.536254066,2.975598797,56.42216024,5.85E-14,2.52E-12
ENSMUSG00000073609,0.962724174,4.245987743,56.19940317,6.55E-14,2.81E-12
ENSMUSG00000046432,-1.627592526,2.876426887,56.09055298,6.92E-14,2.96E-12
ENSMUSG00000006476,1.054656411,4.534928821,55.96576562,7.37E-14,3.14E-12
ENSMUSG00000091383,-6.677317255,-0.526285834,55.80120018,8.02E-14,3.41E-12
ENSMUSG00000032300,-0.685792796,6.873759556,55.71370197,8.38E-14,3.55E-12
ENSMUSG00000016520,-0.99417244,4.932553295,55.32431806,1.02E-13,4.31E-12
ENSMUSG00000003382,-0.73904172,5.468836502,55.30409193,1.03E-13,4.34E-12
ENSMUSG00000014353,-0.708700648,6.57072944,55.29606037,1.04E-13,4.35E-12
ENSMUSG00000070858,-4.599568013,-0.151159706,55.28574196,1.04E-13,4.36E-12
