Gene,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000005043,-3.95878249,3.64090593,493.6310434,2.31E-109,3.00E-105
ENSMUSG00000049404,-3.389599823,3.50146585,325.7569042,8.07E-73,5.24E-69
ENSMUSG00000039114,-5.04208321,2.231017214,254.4679383,2.76E-57,1.19E-53
ENSMUSG00000027199,-3.199098429,4.329461205,253.3575841,4.81E-57,1.56E-53
ENSMUSG00000036322,-8.458953999,2.69889886,205.6923738,1.20E-46,3.11E-43
ENSMUSG00000020077,-1.812425861,6.55455618,199.0850437,3.31E-45,7.16E-42
ENSMUSG00000074280,-6.387759267,1.807032663,180.9761769,2.97E-41,5.51E-38
ENSMUSG00000028680,-1.915175402,7.883928436,180.4084342,3.95E-41,6.41E-38
ENSMUSG00000037266,1.310072837,8.11247581,177.9894822,1.33E-40,1.92E-37
ENSMUSG00000059040,-6.777311491,1.722448887,170.1605254,6.83E-39,8.79E-36
ENSMUSG00000097906,-4.81456692,2.140451301,169.9893331,7.44E-39,8.79E-36
ENSMUSG00000013483,-4.953535296,1.73879114,169.6284318,8.92E-39,9.66E-36
ENSMUSG00000015745,-1.660066789,4.32842139,167.830209,2.20E-38,2.20E-35
ENSMUSG00000091705,-6.448033537,1.383044996,164.1497246,1.40E-37,1.30E-34
ENSMUSG00000029449,-1.357091508,5.54745341,163.9250855,1.57E-37,1.36E-34
ENSMUSG00000035929,-1.208425327,6.054075128,161.1798251,6.25E-37,5.08E-34
ENSMUSG00000030539,-1.480591158,5.362361819,155.4610168,1.11E-35,8.49E-33
ENSMUSG00000054676,0.988534125,7.398027502,152.4851702,4.96E-35,3.58E-32
ENSMUSG00000002100,-2.054402234,3.570511118,148.5043902,3.68E-34,2.52E-31
ENSMUSG00000094685,-4.957992632,1.137423935,147.4970138,6.11E-34,3.97E-31
ENSMUSG00000073403,-3.826464349,1.936168683,139.1516254,4.08E-32,2.53E-29
ENSMUSG00000056952,-1.214660043,6.395812387,138.2194279,6.53E-32,3.85E-29
ENSMUSG00000071723,-7.414405467,1.532309725,137.3352071,1.02E-31,5.76E-29
ENSMUSG00000024732,-1.303183246,6.55943228,136.7835471,1.34E-31,7.28E-29
ENSMUSG00000064193,-8.084349943,0.587362551,135.4166848,2.68E-31,1.39E-28
ENSMUSG00000044783,1.378493505,7.594523341,134.8308369,3.60E-31,1.80E-28
ENSMUSG00000057596,1.348998569,4.408948359,134.4654241,4.32E-31,2.08E-28
ENSMUSG00000052056,1.124082353,6.598526778,134.3382001,4.61E-31,2.14E-28
ENSMUSG00000044066,1.443249699,5.265511349,132.1135888,1.41E-30,6.33E-28
